V1,V2,V3,V4,V5,V6,V7
7666.29,7990.81,6062.5,7666.29,7666.29,7666.29,20.92
11961.76,12468.12,9459.36,11961.76,11961.76,11961.76,20.92
10419.78,10860.86,8239.96,10419.78,10419.78,10419.78,20.92
6918.56,7211.43,5471.2,6918.56,6918.56,6918.56,20.92
13170.34,13727.86,10415.1,13170.34,13170.34,13170.34,20.92
16368.78,17061.69,12944.43,16368.78,16368.78,16368.78,20.92
16749.07,17458.08,13245.16,16749.06,16749.06,16749.06,20.92
176055.85,157464.64,144365.8,176055.85,176055.85,176055.85,18.0
79225.67,82259.82,62651.66,79225.67,79225.67,79225.67,20.92
473146.86,540130.7,415395.6,525000.0,473146.86,473146.86,25.89
171000.0,171000.0,124830.0,171000.0,171000.0,171000.0,26.7
220850.08,220932.51,157925.48,220932.0,220932.51,220932.51,23.67
223877.27,247441.53,152443.99,247441.0,247441.53,247441.53,24.32
296000.0,296000.0,216080.0,296000.0,296000.0,296000.0,34.0
203300.0,203300.0,143869.6,203300.0,203300.0,203300.0,29.6
224000.0,224000.0,157696.0,224000.0,224000.0,224000.0,29.6
201200.0,201200.0,141644.8,201200.0,201200.0,201200.0,29.6
322100.0,322100.0,226758.4,322100.0,322100.0,322100.0,29.6
167800.0,167800.0,118131.2,167800.0,167800.0,167800.0,29.6
75900.0,75900.0,55527.0,75900.0,75900.0,75900.0,29.6
121000.0,121000.0,89010.0,121000.0,121000.0,121000.0,26.44
45600.0,45600.0,32102.4,45600.0,45600.0,29416.64,29.6
35000.0,35000.0,25550.0,35000.0,35000.0,35000.0,29.6
54000.0,54000.0,39000.0,54000.0,54000.0,54000.0,27.78
76000.0,76000.0,53504.0,76000.0,76000.0,76000.0,29.6
93000.0,93000.0,68960.0,93000.0,93000.0,93000.0,29.6
162000.0,162000.0,119065.8,162000.0,162000.0,162000.0,26.5
61000.0,61000.0,44530.0,61000.0,61000.0,61000.0,27.0
34300.0,34300.0,25813.0,34300.0,34300.0,34300.0,24.74
63000.0,63000.0,54325.36,63000.0,63000.0,63000.0,27.0
317793.33,340212.1,227789.23,340212.0,340212.0,340212.0,28.32
339958.36,339958.36,246553.39,339958.36,339958.36,339958.36,27.48
521600.0,416115.5,400989.37,521600.0,521600.0,521600.0,23.12
71758.44,63905.73,44825.01,63905.73,74029.96,74029.96,25.74
